epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,15550,0.40619,0.04299,0.01911,0.26454,0.97983,0.99622,0.99241,0.9943,0.93748,0.99657,0.99276,0.99442,0.99391,0.38977,0.02716,0.00043,0.19223,0.96409,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,15796.9,0.40466,0.04219,0.02006,0.26809,0.97726,0.99692,0.99265,0.99437,0.9371,0.99719,0.99291,0.99447,0.994,0.38705,0.02597,0.00049,0.18237,0.96377,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,16043.3,0.40045,0.04251,0.01893,0.26661,0.97599,0.99641,0.99259,0.99441,0.94034,0.99667,0.99285,0.99451,0.99405,0.37514,0.02501,0.00047,0.17405,0.95979,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,16290.6,0.40114,0.04103,0.01803,0.26331,0.97712,0.99631,0.99258,0.99427,0.93978,0.99658,0.99276,0.9944,0.99395,0.37608,0.02542,0.00054,0.18101,0.96033,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,16538.5,0.40094,0.04204,0.01872,0.26546,0.97305,0.99647,0.99281,0.99441,0.9397,0.99665,0.99311,0.9945,0.99406,0.38076,0.02516,0.00033,0.17121,0.96271,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,16785.9,0.39811,0.04047,0.01712,0.26261,0.97334,0.99675,0.99163,0.99436,0.94026,0.99674,0.99195,0.99445,0.99404,0.38008,0.02578,0.00035,0.17285,0.96373,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,17033.9,0.3955,0.03983,0.01705,0.25901,0.97084,0.99623,0.99329,0.99433,0.93929,0.99649,0.99355,0.99445,0.994,0.39007,0.02538,0.00037,0.17415,0.96437,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,17281.9,0.39612,0.04021,0.01698,0.26018,0.97245,0.99554,0.99401,0.99427,0.94168,0.9958,0.99427,0.99439,0.99394,0.383,0.02548,0.00037,0.17376,0.96188,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,17531.4,0.3981,0.03991,0.01683,0.2624,0.97312,0.99641,0.9932,0.99429,0.94054,0.99677,0.99355,0.99442,0.994,0.3775,0.02534,0.00047,0.17163,0.95998,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,17779,0.39303,0.03983,0.01743,0.25669,0.97004,0.99724,0.99285,0.99441,0.94023,0.99588,0.99512,0.99452,0.9941,0.39061,0.02552,0.00037,0.17214,0.9667,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
